provincia,municipio,lat,lon,fecha,tmax,tmin,precip,viento
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-01-01,28.7,21.6,7.5,22.7
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-01-02,33.6,19.1,0.4,18.2
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-01-03,34.8,20.3,0.6,15.8
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-01-04,33.0,20.9,14.8,24.1
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-01-05,27.5,15.4,0.0,21.2
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-01-06,29.9,14.9,0.0,19.7
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-01-07,30.3,19.5,0.0,18.5
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-01-08,30.0,21.4,0.0,21.6
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-01-09,32.3,20.8,0.0,20.2
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-01-10,34.4,20.2,0.0,12.8
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-01-11,39.1,21.5,0.0,29.5
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-01-12,36.5,21.0,0.0,30.4
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-01-13,39.5,23.0,0.0,18.1
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-01-14,41.6,25.3,0.0,21.4
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-01-15,36.9,27.3,3.6,28.7
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-01-16,33.8,23.7,6.0,17.9
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-01-17,25.9,17.2,81.5,29.2
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-01-18,23.9,17.1,14.0,25.8
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-01-19,28.8,20.7,0.3,24.7
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-01-20,31.3,21.1,4.0,23.1
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-01-21,31.7,23.5,11.8,21.6
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-01-22,29.4,21.7,23.9,19.9
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-01-23,26.7,21.7,0.8,10.3
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-01-24,29.9,20.1,0.0,8.9
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-01-25,30.5,22.4,11.8,13.4
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-01-26,27.3,17.4,1.6,34.8
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-01-27,22.0,13.2,0.0,22.7
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-01-28,24.7,12.3,0.0,12.5
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-01-29,27.6,15.0,0.0,13.8
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-01-30,29.4,18.9,0.0,16.3
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-01-31,25.0,16.7,0.0,27.8
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-02-01,29.7,14.6,0.0,15.2
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-02-02,32.7,20.4,1.1,16.0
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-02-03,26.6,20.2,33.5,18.6
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-02-04,27.4,17.5,0.8,13.3
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-02-05,22.2,16.5,6.7,27.0
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-02-06,21.2,12.5,0.0,26.8
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-02-07,23.4,13.9,0.0,13.6
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-02-08,24.9,12.8,0.0,12.3
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-02-09,27.0,15.0,0.0,17.1
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-02-10,30.0,18.0,0.0,18.5
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-02-11,26.7,13.8,11.7,29.9
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-02-12,22.2,11.7,3.5,24.7
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-02-13,24.8,9.9,0.0,14.1
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-02-14,29.1,13.9,0.0,15.9
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-02-15,32.1,18.6,0.0,16.6
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-02-16,34.4,19.1,0.0,16.6
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-02-17,26.0,17.0,0.0,25.5
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-02-18,27.0,13.3,0.0,15.6
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-02-19,29.7,17.9,0.1,16.6
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-02-20,23.3,17.5,25.9,26.0
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-02-21,25.1,16.0,0.5,17.4
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-02-22,24.5,16.0,0.0,14.9
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-02-23,27.4,15.2,0.0,21.4
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-02-24,25.8,16.3,13.2,27.1
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-02-25,28.4,12.6,0.0,10.7
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-02-26,29.2,20.2,30.9,23.8
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-02-27,27.4,21.0,32.6,20.4
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-02-28,25.6,15.3,0.0,23.0
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-03-01,25.9,12.3,0.0,19.9
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-03-02,27.4,18.1,0.0,19.2
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-03-03,28.8,16.8,0.0,17.7
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-03-04,28.9,20.5,0.4,13.4
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-03-05,27.5,19.5,9.5,21.0
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-03-06,29.1,17.9,2.3,17.4
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-03-07,24.3,16.9,28.8,23.2
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-03-08,26.1,14.3,0.0,13.1
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-03-09,21.4,17.1,3.1,18.4
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-03-10,23.7,14.2,0.0,17.2
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-03-11,22.7,12.9,0.0,18.5
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-03-12,23.0,10.1,0.0,8.6
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-03-13,23.9,11.3,0.0,9.7
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-03-14,27.3,14.6,0.0,12.6
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-03-15,28.5,16.5,0.0,13.3
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-03-16,28.0,18.7,0.0,19.6
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-03-17,30.1,17.6,0.2,23.6
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-03-18,20.7,13.7,18.5,27.4
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-03-19,18.9,7.7,0.0,10.8
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-03-20,20.7,9.3,0.0,22.7
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-03-21,21.4,14.8,2.3,28.4
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-03-22,24.6,15.7,6.7,13.7
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-03-23,26.7,16.0,6.3,17.5
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-03-24,20.2,9.6,27.5,51.1
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-03-25,22.0,8.2,1.7,37.1
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-03-26,22.0,15.7,0.1,23.7
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-03-27,26.6,12.0,0.0,14.9
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-03-28,26.4,14.7,0.0,20.9
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-03-29,26.1,14.8,3.8,29.8
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-03-30,16.0,8.8,0.0,27.7
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-03-31,16.9,5.6,0.0,11.5
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-04-01,19.1,5.5,0.0,12.4
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-04-02,21.2,9.0,0.0,21.3
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-04-03,24.1,13.1,1.0,24.8
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-04-04,20.4,6.7,0.0,11.6
