provincia,municipio,lat,lon
buenos aires,mercedes,-34.6973213261429,-59.4204811393568
buenos aires,almirante brown,-34.8356191132619,-58.3673729329589
buenos aires,lanus,-34.7056418367328,-58.3947105032598
buenos aires,general rodriguez,-34.6506156900802,-58.9878467982619
buenos aires,brandsen,-35.2225197990076,-58.1752339039367
buenos aires,lujan,-34.5673224195589,-59.1584564399662
buenos aires,merlo,-34.7110032783081,-58.7419584139763
buenos aires,florencio varela,-34.8777448240047,-58.2585548857968
buenos aires,pilar,-34.448164005306,-58.9033327303779
buenos aires,esteban echeverria,-34.8312135656244,-58.4769479291391
buenos aires,lobos,-35.2195857860094,-59.1457418827425
buenos aires,moreno,-34.6106807864957,-58.8108985084533
buenos aires,exaltacion de la cruz,-34.2951342236195,-59.1559461316119
buenos aires,malvinas argentinas,-34.4873113444584,-58.712137241603
buenos aires,la plata,-35.0038470156373,-58.0177777886065
buenos aires,san vicente,-35.0715087168304,-58.4318120603266
buenos aires,escobar,-34.3286828340823,-58.7711786108508
buenos aires,ezeiza,-34.8760968437468,-58.5647013731149
buenos aires,lomas de zamora,-34.7549716277843,-58.4240931304426
buenos aires,avellaneda,-34.678165231634,-58.3411669443016
buenos aires,quilmes,-34.7349707991152,-58.2768580209942
buenos aires,berazategui,-34.8182447703804,-58.1554615086763
buenos aires,la matanza,-34.7702975343898,-58.6253776153662
buenos aires,moron,-34.6493861631091,-58.6198317111492
buenos aires,general san martin,-34.5527540154453,-58.5643041474744
buenos aires,san isidro,-34.4868929544338,-58.5372090766753
buenos aires,san fernando,-34.1558361119161,-58.5345816568901
buenos aires,tigre,-34.382019908002,-58.588173872575
buenos aires,san miguel,-34.552134348678,-58.6917835230055
buenos aires,jose c. paz,-34.5118531627172,-58.7776345982889
buenos aires,zarate,-33.9970875495819,-59.1282178761959
buenos aires,ituzaingo,-34.6360716118623,-58.6887595155803
buenos aires,campana,-34.1383889592815,-58.8829573786219
buenos aires,canuelas,-35.1448044957897,-58.6910941846835
buenos aires,punta indio,-35.4260558765566,-57.3992340402061
buenos aires,presidente peron,-34.9298478405731,-58.3980842106611
