fecha,tipo,nombre
2024-01-01,inamovible,Año nuevo
2024-02-12,inamovible,Carnaval
2024-02-13,inamovible,Carnaval
2024-03-24,inamovible,Día Nacional de la Memoria por la Verdad y la Justicia
2024-03-29,inamovible,Viernes Santo
2024-04-01,puente,Feriado puente turístico
2024-04-02,inamovible,Día del Veterano y de los Caídos en la Guerra de Malvinas
2024-05-01,inamovible,Día del Trabajador
2024-05-25,inamovible,Día de la Revolución de Mayo
2024-06-17,trasladable,Paso a la Inmortalidad del General Martín Güemes
2024-06-20,inamovible,Paso a la Inmortalidad del General Manuel Belgrano
2024-06-21,puente,Feriado puente turístico
2024-07-09,inamovible,Día de la Independencia
2024-08-17,trasladable,Paso a la Inmortalidad del Gral. José de San Martín
2024-10-11,puente,Feriado puente turístico
2024-10-12,trasladable,Día del Respeto a la Diversidad Cultural
2024-11-18,trasladable,Día de la Soberanía Nacional
2024-12-08,inamovible,Día de la Inmaculada Concepción de María
2024-12-25,inamovible,Navidad
