provincia,municipio,lat,lon
BUENOS AIRES,MERCEDES,-34.6973213261429,-59.4204811393568
BUENOS AIRES,GENERAL PUEYRREDON,-37.9656831422558,-57.743028347632
BUENOS AIRES,LANUS,-34.7056418367328,-58.3947105032598
BUENOS AIRES,GENERAL RODRIGUEZ,-34.6506156900802,-58.9878467982619
BUENOS AIRES,BRANDSEN,-35.2225197990076,-58.1752339039367
BUENOS AIRES,LUJAN,-34.5673224195589,-59.1584564399662
BUENOS AIRES,MERLO,-34.7110032783081,-58.7419584139763
BUENOS AIRES,FLORENCIO VARELA,-34.8777448240047,-58.2585548857968
BUENOS AIRES,PILAR,-34.448164005306,-58.9033327303779
BUENOS AIRES,ESTEBAN ECHEVERRIA,-34.8312135656244,-58.4769479291391
BUENOS AIRES,LOBOS,-35.2195857860094,-59.1457418827425
BUENOS AIRES,MORENO,-34.6106807864957,-58.8108985084533
BUENOS AIRES,EXALTACION DE LA CRUZ,-34.2951342236195,-59.1559461316119
BUENOS AIRES,MALVINAS ARGENTINAS,-34.4873113444584,-58.712137241603
BUENOS AIRES,LA PLATA,-35.0038470156373,-58.0177777886065
BUENOS AIRES,SAN VICENTE,-35.0715087168304,-58.4318120603266
BUENOS AIRES,ESCOBAR,-34.3286828340823,-58.7711786108508
BUENOS AIRES,ALMIRANTE BROWN,-34.8356191132619,-58.3673729329589
BUENOS AIRES,EZEIZA,-34.8760968437468,-58.5647013731149
BUENOS AIRES,LOMAS DE ZAMORA,-34.7549716277843,-58.4240931304426
BUENOS AIRES,AVELLANEDA,-34.678165231634,-58.3411669443016
BUENOS AIRES,QUILMES,-34.7349707991152,-58.2768580209942
BUENOS AIRES,BERAZATEGUI,-34.8182447703804,-58.1554615086763
BUENOS AIRES,LA MATANZA,-34.7702975343898,-58.6253776153662
BUENOS AIRES,MORON,-34.6493861631091,-58.6198317111492
BUENOS AIRES,GENERAL SAN MARTIN,-34.5527540154453,-58.5643041474744
BUENOS AIRES,SAN ISIDRO,-34.4868929544338,-58.5372090766753
BUENOS AIRES,SAN FERNANDO,-34.1558361119161,-58.5345816568901
BUENOS AIRES,TIGRE,-34.382019908002,-58.588173872575
BUENOS AIRES,SAN MIGUEL,-34.552134348678,-58.6917835230055
BUENOS AIRES,JOSE C. PAZ,-34.5118531627172,-58.7776345982889
BUENOS AIRES,PINAMAR,-37.1110742904919,-56.8702834122219
BUENOS AIRES,TORNQUIST,-38.2576421634877,-62.2905659977265
ENTRE RÍOS,CONCORDIA,-31.3439911542353,-58.0342282993041
LA PAMPA,SANTA ROSA,-36.5322365145464,-64.4089343089223
RÍO NEGRO,CIPOLLETTI,-39.4542427486591,-68.6955226062846
BUENOS AIRES,TANDIL,-37.3364293166475,-59.1819827896264
BUENOS AIRES,AZUL,-36.7859352165956,-59.6964783376236
BUENOS AIRES,SAN PEDRO,-33.7809855832464,-59.7826256983281
BUENOS AIRES,PUNTA INDIO,-35.4260558765566,-57.3992340402061
BUENOS AIRES,VILLA GESELL,-37.3670719558785,-57.0633978822493
BUENOS AIRES,JUNIN,-34.5464751322691,-61.0052501278321
BUENOS AIRES,ZARATE,-33.9970875495819,-59.1282178761959
CHUBUT,TRELEW,-43.248944421861,-65.3181167767533
CHACO,PRESIDENCIA ROQUE SAENZ PEÑA,-26.7853900358339,-60.4612869070189
CHUBUT,COMODORO RIVADAVIA,-45.839341003736,-67.5913153223866
JUJUY,SAN SALVADOR DE JUJUY,-24.1943328109466,-65.418750170421
NEUQUÉN,SAN MARTIN DE LOS ANDES,-40.1347992136446,-71.3015414173334
BUENOS AIRES,PERGAMINO,-33.8360667305047,-60.5447827847012
ENTRE RÍOS,PARANA,-31.7493555782411,-60.5012038041556
SANTA FE,SANTA FE,-31.6551557198768,-60.6387714502483
RÍO NEGRO,SAN CARLOS DE BARILOCHE,-41.1027302002542,-71.4559580663114
FORMOSA,FORMOSA,-26.1958636875285,-58.217344420551
NEUQUÉN,PLOTTIER,-38.9485618927944,-68.2773560021318
CORRIENTES,CORRIENTES,-27.4938209223809,-58.7708839553989
SANTA FE,ROSARIO,-32.9489590048173,-60.6980842962309
NEUQUÉN,NEUQUEN,-38.9420814031729,-68.103829401365
CHUBUT,RAWSON,-43.2585661871389,-65.0886233411269
BUENOS AIRES,BAHIA BLANCA,-38.5841892125766,-62.1694174494126
BUENOS AIRES,NECOCHEA,-38.2554110045679,-59.1673869468897
BUENOS AIRES,PRESIDENTE PERON,-34.9298478405731,-58.3980842106611
SAN LUIS,SAN LUIS,-33.3035158233766,-66.3434777445641
SANTA FE,RECONQUISTA,-29.2273963709805,-59.6145182689185
CORDOBA,RIO CUARTO,-33.115558002371,-64.3570883812807
RÍO NEGRO,GENERAL ROCA,-39.0105827929634,-67.6183270840903
BUENOS AIRES,CAMPANA,-34.1383889592815,-58.8829573786219
BUENOS AIRES,CAÑUELAS,-35.1448044957897,-58.6910941846835
CHUBUT,ESQUEL,-42.9105175261124,-71.3158427579333
CORDOBA,VILLA ALLENDE,-31.2723301734049,-64.3361456913797
SANTA FE,RAFAELA,-31.2423283955577,-61.4875615908817
CORDOBA,VILLA MARIA,-32.4031012852999,-63.2366303163218
ENTRE RÍOS,CONCEPCION DEL URUGUAY,-32.4616997675992,-58.2821726317446
BUENOS AIRES,OLAVARRIA,-36.8576340464591,-60.670205401306
BUENOS AIRES,CHIVILCOY,-34.9154873284331,-59.958419488149
LA PAMPA,GENERAL PICO,-35.5797743389588,-63.6162726702493
SANTA FE,VENADO TUERTO,-33.7518202806305,-61.9744594399441
JUJUY,PALPALA,-24.1949225159114,-65.1264498098014
BUENOS AIRES,BALCARCE,-37.7146198082256,-58.2717475616573
BUENOS AIRES,ITUZAINGO,-34.6360716118623,-58.6887595155803
RÍO NEGRO,VIEDMA,-41.0292614690091,-63.3267607269368
CHUBUT,PUERTO MADRYN,-42.731476695997,-65.048337730345
SANTA FE,PUERTO GENERAL SAN MARTIN,-32.682163952774,-60.7505144595784
TUCUMAN,SAN MIGUEL DE TUCUMAN,-26.8339982188674,-65.2177164528872
