fecha,empresa,linea,tipo_transporte,provincia,municipio,cantidad
2024-01-15,MUNICIPALIDAD DE MERCEDES PROVINCIA DE BUENOS AIRES,1,COLECTIVO,BUENOS AIRES,MERCEDES,591
2024-01-15,MUNICIPALIDAD DE MERCEDES PROVINCIA DE BUENOS AIRES,2B,COLECTIVO,BUENOS AIRES,MERCEDES,180
2024-01-15,COOP. DE PROVISION DE SERVICIOS 1 DE SEPTIEMBRE LTDA,AEROCLUB - 140 VIV.,COLECTIVO,RÍO NEGRO,GENERAL ROCA,406
2024-01-15,COOP. DE PROVISION DE SERVICIOS 1 DE SEPTIEMBRE LTDA,BARRIO NUEVO,COLECTIVO,RÍO NEGRO,GENERAL ROCA,1417
2024-01-15,EMPRESA BATAN S.A.,BS_AS_LINEA 715M,COLECTIVO,BUENOS AIRES,GENERAL PUEYRREDON,6295
2024-01-15,EMPRESA BATAN S.A.,BS_AS_LINEA 720M,COLECTIVO,BUENOS AIRES,GENERAL PUEYRREDON,1872
2024-01-15,COMPAÑIA  DE TRANSPORTE VECINAL S.A.,BS_AS_LINEA_326,COLECTIVO,BUENOS AIRES,SN,8279
2024-01-15,EMPRESA DE TRANSPORTE PERALTA RAMOS SACI,BS_AS_LINEA_512,COLECTIVO,BUENOS AIRES,GENERAL PUEYRREDON,4877
2024-01-15,EL URBANO SRL,BS_AS_LINEA_522,COLECTIVO,BUENOS AIRES,LANUS,1713
2024-01-15,EL URBANO SRL,BS_AS_LINEA_527,COLECTIVO,BUENOS AIRES,LANUS,3896
2024-01-15,TRANSPORTES LINEA 123 S.A.C.I.,BS_ASLINEA_123,COLECTIVO,JN,SD,11293
2024-01-15,TRANPORTES VEINTIDOS DE SETIEMBRE S.A.C.,BSAS_LINEA_002,COLECTIVO,JN,SD,24819
2024-01-15,GENERAL TOMAS GUIDO S.A.C.I.F.,BSAS_LINEA_009,COLECTIVO,JN,SD,22618
2024-01-15,LINEA 10 S.A.,BSAS_LINEA_010,COLECTIVO,JN,SD,25995
