provincia,municipio,lat,lon,fecha,tmax,tmin,precip,viento
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-01-01,25.6,17.7,7.3,17.3
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-01-02,27.9,17.3,0.0,19.4
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-01-03,27.9,18.5,0.4,19.4
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-01-04,28.7,19.6,0.1,17.4
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-01-05,30.5,20.8,0.3,16.4
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-01-06,28.6,21.6,12.8,20.0
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-01-07,28.9,19.8,20.6,16.5
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-01-08,29.4,17.4,0.5,20.8
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-01-09,31.2,19.0,0.0,10.1
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-01-10,31.6,19.8,0.0,19.5
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-01-11,27.2,18.5,0.1,23.2
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-01-12,27.5,14.6,0.0,18.8
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-01-13,31.2,18.4,1.3,19.0
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-01-14,30.2,20.0,4.2,25.5
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-01-15,30.2,16.0,0.0,14.4
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-01-16,26.7,19.7,11.8,22.7
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-01-17,28.8,16.6,0.0,19.2
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-01-18,29.1,19.6,0.7,16.8
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-01-19,29.0,19.5,0.2,20.0
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-01-20,29.3,13.7,0.0,18.8
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-01-21,28.1,15.8,0.0,20.5
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-01-22,29.7,17.6,0.0,18.2
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-01-23,29.2,18.0,0.0,19.4
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-01-24,30.4,18.7,0.0,15.3
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-01-25,31.5,18.4,0.0,17.8
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-01-26,31.9,19.1,0.0,18.2
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-01-27,31.2,20.2,0.0,18.7
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-01-28,31.6,19.4,0.0,21.0
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-01-29,32.6,20.7,0.0,16.0
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-01-30,34.7,21.2,0.0,12.7
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-01-31,35.9,24.3,0.0,16.1
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-02-01,37.8,24.6,0.0,18.4
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-02-02,38.0,26.7,0.0,21.6
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-02-03,36.9,24.6,0.5,31.1
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-02-04,30.6,18.7,0.0,31.1
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-02-05,34.6,21.1,3.3,23.0
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-02-06,35.2,25.1,11.8,22.2
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-02-07,32.1,25.1,18.3,19.5
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-02-08,32.9,26.0,0.2,19.8
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-02-09,28.8,23.0,25.3,18.0
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-02-10,30.1,22.5,13.6,20.1
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-02-11,32.2,20.4,0.0,7.5
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-02-12,26.3,17.7,28.8,30.5
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-02-13,21.7,13.0,0.0,22.1
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-02-14,24.6,13.2,0.0,17.4
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-02-15,26.5,14.8,0.0,17.1
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-02-16,28.4,17.3,0.0,17.3
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-02-17,29.0,19.9,0.0,15.1
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-02-18,29.9,19.5,0.3,15.7
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-02-19,30.7,19.1,0.0,15.8
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-02-20,31.2,19.2,0.0,16.3
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-02-21,32.0,21.6,0.0,17.1
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-02-22,32.0,22.2,0.0,15.2
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-02-23,27.7,21.5,0.3,15.6
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-02-24,27.9,19.0,0.1,23.4
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-02-25,28.1,17.5,2.1,23.0
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-02-26,28.4,20.0,6.5,19.8
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-02-27,28.8,19.3,0.5,12.4
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-02-28,31.3,19.3,0.0,9.2
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-02-29,30.5,20.6,1.6,19.1
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-03-01,29.2,18.9,0.6,17.3
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-03-02,28.9,21.9,43.6,29.4
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-03-03,23.5,14.6,0.0,29.4
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-03-04,25.5,12.3,0.0,11.5
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-03-05,22.7,13.4,0.0,19.3
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-03-06,26.0,13.4,0.0,17.6
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-03-07,29.0,16.2,0.0,17.3
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-03-08,25.8,19.6,2.7,16.2
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-03-09,28.6,20.2,4.3,19.4
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-03-10,28.5,17.5,0.0,26.7
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-03-11,26.3,21.0,53.3,31.4
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-03-12,24.7,21.4,7.5,27.6
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-03-13,25.9,21.5,22.1,18.4
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-03-14,27.5,19.7,30.8,13.3
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-03-15,27.1,19.1,0.2,18.1
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-03-16,28.2,19.7,0.7,10.5
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-03-17,26.3,17.1,0.0,21.3
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-03-18,29.2,21.0,6.6,16.5
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-03-19,28.5,20.0,6.0,18.7
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-03-20,24.3,19.8,70.6,35.3
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-03-21,20.1,12.8,0.0,24.3
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-03-22,21.1,9.3,0.0,13.0
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-03-23,23.5,13.8,0.0,20.7
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-03-24,27.3,15.6,0.0,13.4
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-03-25,25.9,16.9,0.0,13.0
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-03-26,25.5,14.7,0.0,14.0
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-03-27,27.5,16.9,0.0,14.1
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-03-28,27.5,16.0,0.0,14.8
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-03-29,27.8,16.8,0.0,13.8
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-03-30,31.0,18.6,0.0,18.8
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-03-31,23.6,15.2,0.5,19.8
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-04-01,21.8,14.6,0.1,16.2
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-04-02,22.5,11.3,0.0,18.9
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-04-03,20.6,14.4,2.4,22.3
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-04-04,24.9,13.2,0.0,12.1
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-04-05,26.6,11.9,0.0,9.8
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-04-06,25.3,14.0,0.0,20.7
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-04-07,25.5,14.1,0.0,11.8
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-04-08,26.0,14.2,0.0,16.6
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-04-09,25.8,14.5,0.0,22.2
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-04-10,17.9,13.6,0.0,23.8
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-04-11,18.0,10.3,0.3,20.0
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-04-12,20.5,11.0,3.4,23.1
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-04-13,19.4,16.1,33.4,30.4
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-04-14,23.6,18.5,13.9,23.8
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-04-15,24.3,19.0,23.9,31.1
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-04-16,18.7,13.2,2.7,33.7
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-04-17,22.1,12.8,0.0,28.7
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-04-18,22.3,9.0,0.0,13.3
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-04-19,25.2,16.2,0.0,21.1
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-04-20,25.4,15.8,0.0,13.4
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-04-21,23.7,16.5,2.9,25.8
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-04-22,21.2,16.3,22.1,31.9
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-04-23,19.7,12.8,1.2,19.1
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-04-24,18.3,7.2,0.0,11.7
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-04-25,17.3,10.7,17.0,19.4
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-04-26,19.8,14.5,9.9,20.1
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-04-27,17.6,8.7,0.0,20.5
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-04-28,19.6,6.0,0.0,12.0
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-04-29,18.9,11.4,0.9,24.3
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-04-30,19.1,14.0,4.7,21.4
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-05-01,17.9,10.5,0.0,22.8
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-05-02,14.1,7.3,0.3,19.8
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-05-03,15.7,3.4,0.0,11.8
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-05-04,19.7,5.9,0.0,15.4
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-05-05,20.5,15.5,0.7,13.7
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-05-06,20.7,16.0,2.0,17.6
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-05-07,20.9,15.6,0.1,15.3
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-05-08,16.1,8.6,0.2,34.3
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-05-09,15.5,4.3,0.0,10.9
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-05-10,16.8,4.2,0.0,10.5
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-05-11,16.6,7.5,0.0,18.7
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-05-12,12.9,7.3,0.1,24.2
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-05-13,12.7,3.8,0.0,18.0
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-05-14,12.8,2.9,0.0,17.0
