provincia,municipio,lat,lon,fecha,tmax,tmin,precip,viento
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-01-15,30.2,16.0,0.0,14.4
rio negro,general roca,-39.0105827929634,-67.6183270840903,2024-01-15,31.8,17.4,0.0,21.6
buenos aires,general pueyrredon,-37.9656831422558,-57.743028347632,2024-01-15,31.0,13.8,0.0,27.8
buenos aires,lanus,-34.7056418367328,-58.3947105032598,2024-01-15,30.7,19.9,0.0,16.9
buenos aires,general rodriguez,-34.6506156900802,-58.9878467982619,2024-01-15,30.7,16.8,0.0,15.2
buenos aires,brandsen,-35.2225197990076,-58.1752339039367,2024-01-15,31.2,17.4,0.0,16.6
buenos aires,lujan,-34.5673224195589,-59.1584564399662,2024-01-15,30.7,16.7,0.0,14.8
buenos aires,merlo,-34.7110032783081,-58.7419584139763,2024-01-15,30.1,18.0,0.0,15.0
buenos aires,florencio varela,-34.8777448240047,-58.2585548857968,2024-01-15,30.7,18.2,0.0,14.8
buenos aires,campana,-34.1383889592815,-58.8829573786219,2024-01-15,31.9,18.0,0.0,12.8
buenos aires,pilar,-34.448164005306,-58.9033327303779,2024-01-15,30.6,17.1,0.0,15.1
buenos aires,esteban echeverria,-34.8312135656244,-58.4769479291391,2024-01-15,30.5,18.4,0.0,15.0
buenos aires,lobos,-35.2195857860094,-59.1457418827425,2024-01-15,29.9,17.7,0.0,18.8
buenos aires,moreno,-34.6106807864957,-58.8108985084533,2024-01-15,30.5,17.8,0.0,15.2
buenos aires,exaltacion de la cruz,-34.2951342236195,-59.1559461316119,2024-01-15,30.9,16.3,0.0,14.4
buenos aires,malvinas argentinas,-34.4873113444584,-58.712137241603,2024-01-15,30.9,18.1,0.0,15.0
buenos aires,canuelas,-35.1448044957897,-58.6910941846835,2024-01-15,30.2,17.8,0.0,18.0
buenos aires,la plata,-35.0038470156373,-58.0177777886065,2024-01-15,30.7,17.5,0.0,14.8
buenos aires,san vicente,-35.0715087168304,-58.4318120603266,2024-01-15,30.7,18.2,0.0,16.7
buenos aires,escobar,-34.3286828340823,-58.7711786108508,2024-01-15,31.0,17.6,0.0,14.2
buenos aires,almirante brown,-34.8356191132619,-58.3673729329589,2024-01-15,30.4,18.4,0.0,15.1
buenos aires,ezeiza,-34.8760968437468,-58.5647013731149,2024-01-15,30.5,18.3,0.0,15.9
buenos aires,lomas de zamora,-34.7549716277843,-58.4240931304426,2024-01-15,30.6,18.8,0.0,15.5
buenos aires,avellaneda,-34.678165231634,-58.3411669443016,2024-01-15,30.8,20.0,0.0,16.9
buenos aires,quilmes,-34.7349707991152,-58.2768580209942,2024-01-15,30.5,19.2,0.0,15.5
buenos aires,berazategui,-34.8182447703804,-58.1554615086763,2024-01-15,30.7,18.9,0.0,14.4
buenos aires,la matanza,-34.7702975343898,-58.6253776153662,2024-01-15,30.3,18.6,0.0,15.2
buenos aires,moron,-34.6493861631091,-58.6198317111492,2024-01-15,30.2,17.4,0.0,15.3
buenos aires,general san martin,-34.5527540154453,-58.5643041474744,2024-01-15,30.3,17.9,0.0,16.4
